seller,nome,reviews_rating,reviews_total,old_money,new_money
Por Loi Brasil ,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",5.0,(1),4.666,3.199
Por VIPH ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.2,(5),2.769,2.599
Por NegociuN ,"Notebook Positivo Vision I15 Intel Core I3-N300 8GB 256GB SSD Windows 11 Home 15"" FHD Preto - Lumina Bar",4.7,(230),3.292,2.629
Por 123 Comprou ,Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,4.8,(51),4.570,2.969
Por Loi Brasil ,Notebook Positivo Vision C Lumina Bar 4gb 128gb 14 Hd W11 Cor Cinza,4.7,(69),1.719,1.479
Por Mega Mamute ,Notebook Vaio Fe15 15.6 Fhd I3-1215u 8gb Ssd 256gb W11 Cinza,4.8,(141),4.284,2.999
Por Mercado Livre ,Notebook Asus Tuf Gaming F16 Fx607vu Rtx4050 Intel Core 5 210h 16gb Ram 512gb Ssd Windows 11 Tela Nível Ips 16 Led 144hz Gray - Rl053w,4.7,(13),9.499,7.199
Por Asus ,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ613",5.0,(5),4.099,3.390
,Notebook Lenovo Thinkpad T14 G4 Core I7 13th 32gb Ram 512ssd Preto (Novo com caixa aberta),5.0,(1),6.399,4.287
,Notebook Dell Latitude 5420 I5 11° Ge 16gb Ssd 256gb W10 Pro Cinza (Recondicionado),,,2.299,109
,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),,,1.829,87
Por Apple ,"Apple MacBook Air de 13"" (Meia-noite, Chip M2 da Apple com CPU de 8 núcleos, GPU de 8 núcleos e Neural Engine de 16 núcleos, Memória unificada de 16 GB, SSD de 256 GB)",,,12.499,8.999
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",4.7,(209),2.199,1.599
Por Positivo ,Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza,4.6,(4589),1.849,1.199
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.6,(54),4.299,3.299
Por Mercado Livre ,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,4.8,(170),4.999,238
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,4.9,(943),9.990,9.390
Por Micro Livre ,Notebook Lenovo E14 Core I5 8 GB Ssd256 14 Win - Excelente (Recondicionado),,,2.506,1.954
Por Eshop ,Notebook Samsung Book4 I3 8gb 256 Ssd W11p Np754xgj-kg6br,5.0,(1),4.749,3.699
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.6,(56),3.899,2.999
Por Acer Brasil ,Notebook Acer Aspire 58md Ci5 13°g W11 Home  512ssd 8gb Ram,,,3.999,3.199
Por Eletro2U ,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",4.7,(1879),2.499,1.799
Por Positivo ,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link Cinza,4.6,(4589),1.415,1.297
Por Micro Livre ,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb Preto (Recondicionado),4.7,(89),1.799,1.637
Por Mercado Livre ,"Notebook ASUS Vivobook 15, Intel Core i5 12a geração, 8GB, 256GB SSD, KeepOS, 15,6"" LED FHD, Quiet Blue",5.0,(5),3.249,2.862
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
